Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 66.0.3359.139,,2018-05-07 10:56:52,2018-05-07 10:57:11,18.703s,PASSED
,,,,,,
Test Cases/Testcase 1,Chrome 66.0.3359.139,Manager Login & Logout,2018-05-07 10:56:52,2018-05-07 10:57:11,18.379s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 10:56:53,2018-05-07 10:56:55,2.767s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 10:56:55,2018-05-07 10:56:57,2.010s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 10:56:57,2018-05-07 10:56:58,0.203s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 10:56:58,2018-05-07 10:56:58,0.107s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:56:58,2018-05-07 10:57:00,2.656s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:00,2018-05-07 10:57:02,1.264s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 10:57:02,2018-05-07 10:57:02,0.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:02,2018-05-07 10:57:02,0.103s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:02,2018-05-07 10:57:03,0.939s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:03,2018-05-07 10:57:04,1.665s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:04,2018-05-07 10:57:05,0.791s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:05,2018-05-07 10:57:06,1.059s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:06,2018-05-07 10:57:07,0.336s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:07,2018-05-07 10:57:07,0.355s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:07,2018-05-07 10:57:08,0.817s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:08,2018-05-07 10:57:08,0.355s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:08,2018-05-07 10:57:08,0.073s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:08,2018-05-07 10:57:09,0.318s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:09,2018-05-07 10:57:09,0.821s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 10:57:09,2018-05-07 10:57:10,0.716s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-07 10:57:10,2018-05-07 10:57:11,0.624s,PASSED
