Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 66.0.3359.139,,2018-05-07 13:54:17,2018-05-07 13:54:52,35.220s,FAILED
,,,,,,
Test Cases/Testcase1,Chrome 66.0.3359.139,Manager Login & Logout,2018-05-07 13:54:17,2018-05-07 13:54:29,12.175s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 13:54:18,2018-05-07 13:54:20,2.743s,PASSED
navigateToUrl,Chrome 66.0.3359.139,Open Url\r\n,2018-05-07 13:54:20,2018-05-07 13:54:24,4.005s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:54:24,2018-05-07 13:54:25,0.225s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:54:25,2018-05-07 13:54:25,0.112s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:25,2018-05-07 13:54:27,2.780s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:27,2018-05-07 13:54:29,1.272s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:54:29,2018-05-07 13:54:29,0.129s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:29,2018-05-07 13:54:29,0.105s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:29,2018-05-07 13:54:29,0.509s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:29,2018-05-07 13:54:29,0.033s,FAILED
,,,,,,
Test Cases/Testcase2,Chrome 66.0.3359.139,,2018-05-07 13:54:29,2018-05-07 13:54:52,22.701s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 13:54:30,2018-05-07 13:54:32,2.605s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 13:54:32,2018-05-07 13:54:34,2.165s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:54:34,2018-05-07 13:54:35,0.165s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 13:54:35,2018-05-07 13:54:35,0.110s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:35,2018-05-07 13:54:38,3.248s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:38,2018-05-07 13:54:38,0.078s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 13:54:38,2018-05-07 13:54:40,2.413s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:40,2018-05-07 13:54:41,0.125s,PASSED
switchToWindowTitle,Chrome 66.0.3359.139,,2018-05-07 13:54:41,2018-05-07 13:54:49,8.605s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:49,2018-05-07 13:54:49,0.080s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:49,2018-05-07 13:54:49,0.152s,PASSED
switchToWindowTitle,Chrome 66.0.3359.139,,2018-05-07 13:54:49,2018-05-07 13:54:49,0.044s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:49,2018-05-07 13:54:49,0.080s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 13:54:49,2018-05-07 13:54:51,1.249s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 13:54:51,2018-05-07 13:54:51,0.748s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-07 13:54:51,2018-05-07 13:54:52,0.664s,PASSED
