Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 66.0.3359.139,,2018-05-07 14:08:06,2018-05-07 14:09:10,1m - 3.941s,FAILED
,,,,,,
Test Cases/Testcase1,Chrome 66.0.3359.139,Manager Login & Logout,2018-05-07 14:08:07,2018-05-07 14:08:51,44.077s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 14:08:07,2018-05-07 14:08:10,3.027s,PASSED
navigateToUrl,Chrome 66.0.3359.139,Open Url\r\n,2018-05-07 14:08:10,2018-05-07 14:08:12,2.033s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:08:12,2018-05-07 14:08:12,0.185s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:08:12,2018-05-07 14:08:12,0.094s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:08:12,2018-05-07 14:08:15,2.365s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:08:15,2018-05-07 14:08:16,1.469s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:08:16,2018-05-07 14:08:16,0.120s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:08:16,2018-05-07 14:08:17,0.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:08:17,2018-05-07 14:08:18,1.002s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-07 14:08:18,2018-05-07 14:08:18,0.056s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:08:18,2018-05-07 14:08:49,31.085s,FAILED
,,,,,,
Test Cases/Testcase2,Chrome 66.0.3359.139,,2018-05-07 14:08:51,2018-05-07 14:09:10,19.556s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 14:08:51,2018-05-07 14:08:54,2.647s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 14:08:54,2018-05-07 14:08:56,2.112s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:08:56,2018-05-07 14:08:56,0.179s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:08:56,2018-05-07 14:08:56,0.100s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:08:56,2018-05-07 14:08:59,2.653s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:08:59,2018-05-07 14:08:59,0.099s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 14:08:59,2018-05-07 14:09:00,1.311s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:09:00,2018-05-07 14:09:00,0.158s,PASSED
switchToWindowTitle,Chrome 66.0.3359.139,,2018-05-07 14:09:00,2018-05-07 14:09:06,5.439s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:09:06,2018-05-07 14:09:06,0.083s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:09:06,2018-05-07 14:09:06,0.145s,PASSED
switchToWindowTitle,Chrome 66.0.3359.139,,2018-05-07 14:09:06,2018-05-07 14:09:06,0.092s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:09:06,2018-05-07 14:09:06,0.103s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 14:09:06,2018-05-07 14:09:07,0.858s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:09:07,2018-05-07 14:09:08,0.729s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-07 14:09:08,2018-05-07 14:09:08,0.654s,PASSED
