Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 66.0.3359.139,,2018-05-07 14:05:51,2018-05-07 14:06:39,48.184s,PASSED
,,,,,,
Test Cases/Testcase1,Chrome 66.0.3359.139,Manager Login & Logout,2018-05-07 14:05:51,2018-05-07 14:06:17,25.225s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 14:05:52,2018-05-07 14:05:55,3.031s,PASSED
navigateToUrl,Chrome 66.0.3359.139,Open Url\r\n,2018-05-07 14:05:55,2018-05-07 14:05:57,2.262s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:05:57,2018-05-07 14:05:57,0.254s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:05:57,2018-05-07 14:05:57,0.118s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:05:57,2018-05-07 14:06:01,3.612s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:01,2018-05-07 14:06:03,2.366s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:06:03,2018-05-07 14:06:04,0.129s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:04,2018-05-07 14:06:04,0.186s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:04,2018-05-07 14:06:05,1.062s,PASSED
waitForPageLoad,Chrome 66.0.3359.139,,2018-05-07 14:06:05,2018-05-07 14:06:05,0.060s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:05,2018-05-07 14:06:06,1.446s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:06,2018-05-07 14:06:07,0.737s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:07,2018-05-07 14:06:08,1.012s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:08,2018-05-07 14:06:08,0.397s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:08,2018-05-07 14:06:09,0.512s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:09,2018-05-07 14:06:10,0.993s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:10,2018-05-07 14:06:10,0.415s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:10,2018-05-07 14:06:10,0.079s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:10,2018-05-07 14:06:11,0.392s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:11,2018-05-07 14:06:13,2.270s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:13,2018-05-07 14:06:14,0.729s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-07 14:06:14,2018-05-07 14:06:15,0.673s,PASSED
,,,,,,
Test Cases/Testcase2,Chrome 66.0.3359.139,,2018-05-07 14:06:17,2018-05-07 14:06:39,22.629s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-07 14:06:17,2018-05-07 14:06:19,2.053s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 14:06:19,2018-05-07 14:06:21,1.950s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:06:21,2018-05-07 14:06:21,0.272s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-07 14:06:21,2018-05-07 14:06:21,0.114s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:21,2018-05-07 14:06:27,6.204s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:27,2018-05-07 14:06:27,0.103s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 14:06:27,2018-05-07 14:06:30,2.181s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:30,2018-05-07 14:06:30,0.126s,PASSED
switchToWindowTitle,Chrome 66.0.3359.139,,2018-05-07 14:06:30,2018-05-07 14:06:34,4.588s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:34,2018-05-07 14:06:35,0.201s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:35,2018-05-07 14:06:35,0.144s,PASSED
switchToWindowTitle,Chrome 66.0.3359.139,,2018-05-07 14:06:35,2018-05-07 14:06:35,0.044s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:35,2018-05-07 14:06:35,0.109s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-07 14:06:35,2018-05-07 14:06:36,0.917s,PASSED
click,Chrome 66.0.3359.139,,2018-05-07 14:06:36,2018-05-07 14:06:36,0.749s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-07 14:06:36,2018-05-07 14:06:37,0.649s,PASSED
